"filename", "language", "Markdown", "Batch", "YAML", "JSON with Comments", "JSON", "TypeScript", "PostCSS", "TypeScript JSX", "XML", "HTML", "JavaScript", "comment", "blank", "total"
"d:\Codez\Nexus\Reach2\context-core\server\src\harness\cursor.ts", "TypeScript", 0, 0, 0, 0, 0, 286, 0, 0, 0, 0, 0, 15, 22, 323
"d:\Codez\Nexus\Reach2\context-core\server\src\harness\index.ts", "TypeScript", 0, 0, 0, 0, 0, 44, 0, 0, 0, 0, 0, 12, 8, 64
"d:\Codez\Nexus\Reach2\context-core\server\src\harness\kiro.ts", "TypeScript", 0, 0, 0, 0, 0, 873, 0, 0, 0, 0, 0, 51, 49, 973
"d:\Codez\Nexus\Reach2\context-core\server\src\harness\opencode.ts", "TypeScript", 0, 0, 0, 0, 0, 330, 0, 0, 0, 0, 0, 66, 47, 443
"d:\Codez\Nexus\Reach2\context-core\server\src\harness\vscode.ts", "TypeScript", 0, 0, 0, 0, 0, 511, 0, 0, 0, 0, 0, 70, 63, 644
"d:\Codez\Nexus\Reach2\context-core\server\src\mcp\MCPServer.ts", "TypeScript", 0, 0, 0, 0, 0, 64, 0, 0, 0, 0, 0, 22, 11, 97
"d:\Codez\Nexus\Reach2\context-core\server\src\mcp\formatters.ts", "TypeScript", 0, 0, 0, 0, 0, 288, 0, 0, 0, 0, 0, 51, 50, 389
"d:\Codez\Nexus\Reach2\context-core\server\src\mcp\mcpLogger.ts", "TypeScript", 0, 0, 0, 0, 0, 178, 0, 0, 0, 0, 0, 61, 46, 285
"d:\Codez\Nexus\Reach2\context-core\server\src\mcp\prompts\index.ts", "TypeScript", 0, 0, 0, 0, 0, 382, 0, 0, 0, 0, 0, 30, 40, 452
"d:\Codez\Nexus\Reach2\context-core\server\src\mcp\registry.ts", "TypeScript", 0, 0, 0, 0, 0, 142, 0, 0, 0, 0, 0, 27, 24, 193
"d:\Codez\Nexus\Reach2\context-core\server\src\mcp\resources\index.ts", "TypeScript", 0, 0, 0, 0, 0, 223, 0, 0, 0, 0, 0, 23, 38, 284
"d:\Codez\Nexus\Reach2\context-core\server\src\mcp\serve.ts", "TypeScript", 0, 0, 0, 0, 0, 57, 0, 0, 0, 0, 0, 28, 14, 99
"d:\Codez\Nexus\Reach2\context-core\server\src\mcp\tests\CXCTestBase.ts", "TypeScript", 0, 0, 0, 0, 0, 87, 0, 0, 0, 0, 0, 0, 15, 102
"d:\Codez\Nexus\Reach2\context-core\server\src\mcp\tests\loadFixtures.ts", "TypeScript", 0, 0, 0, 0, 0, 200, 0, 0, 0, 0, 0, 0, 37, 237
"d:\Codez\Nexus\Reach2\context-core\server\src\mcp\tests\messages.test.ts", "TypeScript", 0, 0, 0, 0, 0, 225, 0, 0, 0, 0, 0, 20, 33, 278
"d:\Codez\Nexus\Reach2\context-core\server\src\mcp\tests\resources.test.ts", "TypeScript", 0, 0, 0, 0, 0, 265, 0, 0, 0, 0, 0, 18, 38, 321
"d:\Codez\Nexus\Reach2\context-core\server\src\mcp\tests\runAllTests.ts", "TypeScript", 0, 0, 0, 0, 0, 66, 0, 0, 0, 0, 0, 0, 14, 80
"d:\Codez\Nexus\Reach2\context-core\server\src\mcp\tests\search.test.ts", "TypeScript", 0, 0, 0, 0, 0, 490, 0, 0, 0, 0, 0, 53, 80, 623
"d:\Codez\Nexus\Reach2\context-core\server\src\mcp\tests\test_cross_tool.ts", "TypeScript", 0, 0, 0, 0, 0, 53, 0, 0, 0, 0, 0, 0, 11, 64
"d:\Codez\Nexus\Reach2\context-core\server\src\mcp\tests\test_get_latest_threads.ts", "TypeScript", 0, 0, 0, 0, 0, 60, 0, 0, 0, 0, 0, 9, 18, 87
"d:\Codez\Nexus\Reach2\context-core\server\src\mcp\tests\test_get_message.ts", "TypeScript", 0, 0, 0, 0, 0, 41, 0, 0, 0, 0, 0, 2, 9, 52
